Date,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
01-01-2018,0,15.475,32.275,32.61875,90.19375,0,5.9
02-01-2018,0,16.01875,31.7375,38.40625,89.19375,0,6.686666667
03-01-2018,0,15.5,32.03125,36.9125,90.68125,0.02,5.813333333
04-01-2018,0,13.75625,31.1625,32.575,89.31875,0.013333333,7.48
05-01-2018,0,13.3625,30.7,31.3875,86.825,0,6.04
06-01-2018,0,12.68125,31.6875,26.9,85.8125,0,6.6
07-01-2018,0,14.5,31.31875,29,86.31875,0,7.26
08-01-2018,0,14.68125,31.001875,38.35625,91.2,0,7.22
09-01-2018,0,14.4875,30.075,35.2125,92.2,0,8.053333333
10-01-2018,0,14.79375,30.0125,38.90625,89.90625,0,6.74
11-01-2018,0,16.8,30.86875,30.75625,86.60625,0,6.48
12-01-2018,0,16.08125,32.6875,30.8625,86.78125,0,5.88
13-01-2018,0,16.16875,33.4,26.9375,83.61875,0,5.04
14-01-2018,0,16.5,33.9,21.68125,86.0125,0,6.72
15-01-2018,0,19.30625,31.8625,47.28125,92.6,0,6.706666667
16-01-2018,0,17.25625,32.8875,42.55,94.1,0,5.626666667
17-01-2018,0,15.275,33.39375,31.45625,88.375,0,6.613333333
18-01-2018,0,16.4125,33.15,29.075,91.8,0,7.453333333
19-01-2018,0,14.08125,32.1625,33.225,89.63125,0,5.746666667
20-01-2018,0,12.78125,31.63125,21.66875,85.95625,0,6.653333333
21-01-2018,0,13.85625,31.45625,26.91875,91.11875,0,6.72
22-01-2018,0,16.325,31.74375,30.225,88.31875,0.02,6.113333333
23-01-2018,0,16.11875,31.2375,34.4625,90.2625,0,8.026666667
24-01-2018,0,17.6625,31.5125,38.55625,92.49375,0,8.953333333
25-01-2018,0,16.90625,31.1625,44.025,89.66875,0,6.38
26-01-2018,0,14.05,31.0125,30.25,79.625,0,6.38
27-01-2018,0,13.00625,31.3375,21.55625,84.59375,0,6.393333333
